LttIndividualId,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Country,DateOfBirth,FirstName,LastName,LttUniqueIdentifierId,Postcode,TelephoneNumber,OtherTitle,TitleTypeId,UPRN
171684787631,30 Campbell Grove,Nottinghamshire,Nottingham,,United Kingdom,5/22/1959,Vivan,Annie,895747323277,NG3 1HA,834285629112537,Mr,5,728937934537
314112926973,3 Lower Boscaswell Parc,Cornwall,Penzance,,United Kingdom,10/14/1960,Darci,Margery,624453992944,TR19 7UP,159143711264758,Mrs,4,111373828522
245811873493,25 Oxhey Avenue,Hertfordshire,Watford,,United Kingdom,6/27/1962,Charita,Lynetta,857467251144,WD19 4HB,314391177943298,Miss,1,327377827753
897225333568,1 Ingleside Mews,Redcar and Cleveland,Saltburn-by-the-Sea,,United Kingdom,8/2/1966,Louann,Danelle,213414788989,TS12 1LY,459451738278956,Sir,3,618613437773
531112329522,13 Meadow Drive,Suffolk,Brandon,,United Kingdom,5/22/1969,Somer,Aurelia,728594337567,IP27 9JG,911317966787251,Lord,5,747658192876
675176995327,18 High Street,Wiltshire,Andover,,United Kingdom,8/27/1971,Rolf,Nam,357867735819,SP11 9PZ,492583419199651,Mrs,3,598158237619
911128533495,10 Prior Road,Surrey,Camberley,,United Kingdom,3/27/1972,Talisha,Susannah,626277871316,GU15 1DA,464649621318728,Mr,4,596878392486
328414337949,17 Harrow Road West,Surrey,Dorking,,United Kingdom,9/3/1973,Marica,Yuko,886683695112,RH4 3BH,789147384314642,Mr,4,818819361994
781872934861,200 Priory Crescent,Southend-on-Sea,Southend-on-Sea,,United Kingdom,7/31/1974,Eura,Celine,455642722162,SS99 9BF,116698671151859,Mrs,2,221225324886
542639475725,40 James Street,Northumberland,Hexham,,United Kingdom,5/14/1976,Tyler,Ollie,875751849173,NE47,481836274911236,Miss,3,755455274547
597937632755,10 Aberconway Road,Denbighshire,Prestatyn,,United Kingdom,7/6/1977,Latina,Kary,196543679916,LL19 9HU,814377376554239,Sir,5,327122411634
977658787388,40 James Street,Cumbria,Egremont,,United Kingdom,3/5/1981,Dorothea,Gabrielle,581118169674,CA22 2PQ,681943312919194,Lord,4,678116196564
491959457991,5 Lodsworth Road,West Sussex,Bognor Regis,,United Kingdom,5/3/1982,Brandon,Shara,228145366395,PO21 3PG,114431886865251,Mrs,6,386745639327
342711916689,40 James Street,Kent,Gravesend,,United Kingdom,12/7/1982,Gertrud,Page,553425423355,DA11 7NS,317689114832837,Mr,1,132729451394
841143315136,113 Longfields,Essex,Ongar,,United Kingdom,11/14/1986,Noble,Harland,838978796557,CM5 9DE,427477116329799,Mr,1,698598192775
393321888348,13 Bath Road,Somerset,Bridgwater,,United Kingdom,7/19/1990,Nakia,Althea,864384674182,TA7 9QS,448995443833438,Mrs,3,761361192126
917264863152,12 South Park,Kent,Sevenoaks,,United Kingdom,1/13/1992,Zenobia,Elissa,884951958692,TN13,513512848845116,Miss,2,744386764586
251217389316,1 Melbourne Close,Lincolnshire,Lincoln,,United Kingdom,6/6/1995,Nenita,Olga,888754996584,LN6 3QG,163332916649112,Sir,4,338982392626
581643712152,7 The Street,Suffolk,Bury Saint Edmunds,,United Kingdom,5/17/2000,Denver,Jessie,961194936169,IP30 0LP,476318143129945,Lord,6,157215394799
746197889471,40 James Street,South Yorkshire,Sheffield,,United Kingdom,11/21/2000,Afton,Hang,515447172562,S9 2LU,515342582946168,Mrs,1,927226366519
141671124874,500A Barrhead Road,Glasgow City,Glasgow,,United Kingdom,8/2/2006,Travis,Darcel,451833512543,G43 1AY,381624561546166,Mr,2,175233685333
511448821121,23 Fraser Place,Greater Manchester,Manchester,,United Kingdom,11/17/2006,Tiana,Lang,134847996482,M17,296168979427711,Mr,4,817733546915
739394921871,40 James Street,Gwynedd,Garndolbenmaen,,United Kingdom,1/25/2008,Jeffry,Laci,855996641863,LL51 9TZ,982138921738925,Mrs,3,473282331792
832947113897,29 Station Road,Derbyshire,Mansfield,,United Kingdom,4/24/2008,Sidney,Madelyn,359322992478,NG20 9AQ,462248559759414,Miss,5,474414215752
487948628419,11 Oxclose Park Way,South Yorkshire,Sheffield,,United Kingdom,10/10/2008,Eneida,Bettyann,635673169657,S20 8GS,457587828535264,Sir,5,463398161817
966247533585,16 Tarskavaig Sleat,Highland,Isle of Skye,,United Kingdom,10/25/1960,Ralph,Annelle,615928837168,IV46 8SA,561764159616623,Lord,3,811119712656
756652649237,24a Flightway,Devon,Honiton,,United Kingdom,6/28/1962,Khadijah,Tiesha,857466254152,EX14,852131717782739,Mrs,3,758336897351
772457739499,8 Crown Street,Warrington,Warrington,,United Kingdom,7/31/1962,Christen,Hilde,227144116546,WA1,692615836684746,Mr,1,358595348125
283785474996,12 Priory Close,Carmarthenshire,Carmarthen,,United Kingdom,6/7/1965,Weston,Maryjo,743988339918,SA31 2EL,776413269569517,Mr,2,433989547283
266278161926,40 James Street,Isle of Anglesey,Marianglas,,United Kingdom,8/15/1967,Sammie,Coreen,172221672294,LL73 8PA,326117392918818,Mrs,1,332694272732
344458243717,25 Gardeners Way,Cornwall,Wadebridge,,United Kingdom,10/31/1969,Larry,Cyndy,998572249634,PL27 7RN,951351295255283,Miss,1,949268887581
297312495495,7 Ladysmith Street,Highland,Ullapool,,United Kingdom,9/1/1972,Chance,Mariko,151299764156,IV26 2UW,795622542661627,Sir,6,218655148111
937281768375,21 Hinton Avenue,Greater London,Hounslow,,United Kingdom,11/13/1974,Haywood,Elina,389218942537,TW4 6AP,562859241887878,Lord,5,537472796948
958415332379,5 Bassington Close,Tyne and Wear,Newcastle upon Tyne,,United Kingdom,9/30/1975,Alyson,Royce,631762833688,NE4 5BW,189161784467353,Mrs,4,145325278514
365176989541,256a Fulham Road,Greater London,London,,United Kingdom,6/27/1977,Devorah,Kandra,181412783857,SW10 9LZ,419982689284962,Mr,2,764855421226
296867314622,7 Stonefield,Highland,Isle of Skye,,United Kingdom,9/21/1978,Ileen,Genesis,368998979367,IV46 8SB,685878643547362,Mr,3,781376254877
838698376331,22 Martock Road,Bath and North East Somerset,Bristol,,United Kingdom,10/28/1982,Vanita,Silva,986396584311,BS31 1XA,658656811591867,Mrs,6,217674563572
636525326754,31 Peckham Road,Greater London,London,,United Kingdom,10/13/1987,Socorro,Concepcion,113771858223,SE5 8UB,165723236582411,Miss,4,377145645275
